"Source Name"	"Characteristics[organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cell]"	"Term Source REF"	"Term Accession Number"	"Characteristics[cell provider]"	"Characteristics[cellular component]"	"Term Source REF"	"Term Accession Number"	"Characteristics[life cycle stage]"	"Characteristics[genotype]"	"Characteristics[passage number]"	"Protocol REF"	"Parameter Value[cell culture vessel]"	"Parameter Value[cell culture configuration]"	"Parameter Value[cell culture matrix]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[seeding density]"	"Parameter Value[cell culture medium]"	"Parameter Value[cell culture serum]"	"Parameter Value[cell culture serum concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[cell culture antibiotics]"	"Parameter Value[cell culture temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[cell culture CO2 partial pressure]"	"Parameter Value[cell confluence level]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[plate identifier]"	"Parameter Value[plate well number]"	"Parameter Value[plate well column coordinate]"	"Parameter Value[plate well row coordinate]"	"Protocol REF"	"Parameter Value[perturbation order]"	"Parameter Value[perturbation agent type]"	"Parameter Value[perturbation agent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[perturbation agent delivery]"	"Parameter Value[perturbation agent solvent]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[perturbation agent solvent concentration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[perturbation dose]"	"Parameter Value[perturbation duration]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Parameter Value[targeted gene identifier]"	"Parameter Value[gene construct tag]"	"Parameter Value[mode of expression]"	"Sample Name"	"Factor Value[perturbation agent]"	"Term Source REF"	"Term Accession Number"	"Factor Value[perturbation dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[perturbation time post exposure]"	"Unit"	"Term Source REF"	"Term Accession Number"
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture1"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture2"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture3"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture4"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture5"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"vehicle compound"	""	""	"addition to medium"	"N/A"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"culture6"	"vehicle compound"	""	""	"N/A"	""	""	""	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"addition to medium"	"N/A"	""	""	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""	""	""	""	""	"culture7"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"addition to medium"	"N/A"	""	""	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""	""	""	""	""	"culture8"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"addition to medium"	"N/A"	""	""	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""	""	""	""	""	"culture9"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""
"CL1"	"Homo sapiens"	""	""	"MDA-MB-231"	"CLO"	"http://purl.obolibrary.org/obo/CLO_0007634"	""	""	""	""	"N/A"	""	"1"	"cell growth"	"coated microplate"	"confluent layer"	"2_mg/ml collagen"	""	""	"not specified"	"DMEM GlutaMAX"	"fetal bovine serum"	"10"	"%"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"perturbation"	"1"	"chemical compound"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"addition to medium"	"N/A"	""	""	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""	""	""	""	""	"culture10"	"EGF"	"PR"	"http://purl.obolibrary.org/obo/PR_000006928"	"5"	"nanomolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000065"	""	""	""	""
